Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
580;14/07/2004;15;16;18;28;38;47;0;0; ; ;0;56;16.168,75;4097;220,17;SIM;9.592.944,81;0;0
581;17/07/2004;14;17;25;30;39;52;0;1;;SP;11.781.320,02;56;22.330,36;4429;281,27;NÃO;0;0;0
582;21/07/2004;13;29;40;45;51;59;0;0; ; ;0;29;17.143,40;1943;254,91;SIM;870.027,37;0;0
583;24/07/2004;6;7;20;41;43;55;0;0; ; ;0;36;20.218,13;2157;336,16;SIM;2.143.769,60;0;0
584;28/07/2004;7;8;23;30;32;53;0;0; ; ;0;49;13.327,92;3278;198,48;SIM;8.329.175,80;0;0
585;31/07/2004;12;24;33;36;39;57;0;1;;MG;10.166.807,68;124;8.468,35;7122;146,89;NÃO;0;0;0
586;04/08/2004;11;13;38;39;45;54;0;0; ; ;0;30;15.687,92;2162;216,87;SIM;823.615,95;0;0
587;07/08/2004;2;18;29;30;36;60;0;0; ; ;0;36;20.518,92;2436;302,09;SIM;2.116.308,12;0;0
588;11/08/2004;11;13;45;46;53;55;0;0; ; ;0;22;29.565,71;2088;310,34;SIM;3.254.587,92;0;0
589;14/08/2004;6;7;8;13;33;59;0;0; ; ;0;152;5.926,91;9005;99,66;SIM;9.594.559,27;0;0
590;18/08/2004;4;5;18;25;28;51;0;0; ; ;0;70;14.105,62;5155;190,82;SIM;11.322.497,59;0;0
591;21/08/2004;1;3;18;34;50;58;0;0; ; ;0;64;18.968,95;4448;271,9;SIM;13.447.020,10;0;0
592;25/08/2004;13;14;42;47;55;59;0;0; ; ;0;60;18.664,59;5062;220,39;SIM;15.406.801,69;0;0
593;28/08/2004;1;25;27;29;49;59;0;0; ; ;0;68;20.265,54;5291;259,47;SIM;17.818.401,51;0;0
594;01/09/2004;10;13;29;47;53;55;0;0; ; ;0;121;11.747,70;6444;219,76;SIM;27.956.987,94;0;0
595;04/09/2004;1;2;25;43;50;54;0;0; ; ;0;89;22.736,36;7230;278,82;SIM;31.498.176,46;0;0
596;08/09/2004;11;14;28;43;54;60;0;0; ; ;0;116;15.749,68;6578;276,69;SIM;34.695.360,86;0;0
597;11/09/2004;22;27;29;40;42;56;0;0; ; ;0;140;21.650,75;10021;301,33;SIM;39.999.792,49;0;0
598;15/09/2004;5;16;34;38;50;53;0;2;;DF;23.179.951,19;234;15.531,40;19229;188,29;NÃO;0;0;0
RS;;;;;;;;;;;;;;;;;;;;
599;18/09/2004;4;6;9;23;45;51;0;0; ; ;0;65;10.375,80;4755;141,31;SIM;15.168.219,08;0;0
600;22/09/2004;16;18;31;34;39;54;0;0; ; ;0;73;16.062,92;4640;251,75;SIM;17.220.256,51;0;0
601;25/09/2004;10;19;22;29;30;37;0;0; ; ;0;75;18.837,59;6002;234,5;SIM;19.692.689,90;0;0
602;29/09/2004;7;13;38;46;55;60;0;0; ; ;0;95;13.988,93;6773;195,47;SIM;22.018.349,56;0;0
603;02/10/2004;4;8;11;12;29;44;0;1;;SP;24.750.883,61;233;6.701,50;12565;123,8;NÃO;0;0;0
604;06/10/2004;15;25;41;46;49;51;0;0; ; ;0;15;35.679,23;1422;374,94;SIM;8.450.325,62;0;0
605;09/10/2004;4;24;44;49;52;53;0;0; ; ;0;45;23.716,98;3980;267,15;SIM;10.318.037,87;0;0
606;13/10/2004;6;23;32;35;41;55;0;1;;SP;11.878.491,65;43;20.736,93;3770;235,63;NÃO;0;0;0
607;16/10/2004;6;11;19;27;41;59;0;0; ; ;0;48;13.506,67;3059;211,14;SIM;1.134.560,21;0;0
608;20/10/2004;6;13;19;24;30;37;0;0; ; ;0;101;6.267,54;5181;121,72;SIM;2.242.347,59;0;0
609;23/10/2004;2;6;15;58;59;60;0;0; ; ;0;60;13.952,24;3994;208,81;SIM;8.804.117,70;0;0
610;27/10/2004;25;30;43;45;47;49;0;0; ; ;0;62;14.911,12;4044;227,75;SIM;10.421.973,58;0;0
611;30/10/2004;16;21;22;33;48;49;0;0; ; ;0;69;16.349,76;4531;248,04;SIM;12.396.207,89;0;0
612;03/11/2004;15;18;33;50;53;55;0;0; ; ;0;41;22.250,05;3389;268,16;SIM;13.992.649,10;0;0
613;06/11/2004;6;13;19;44;54;55;0;0; ; ;0;108;12.259,22;7101;185,76;SIM;16.309.642,40;0;0
614;10/11/2004;12;16;31;48;57;60;0;0; ; ;0;53;24.951,84;4127;319,23;SIM;25.638.073,79;0;0
615;13/11/2004;5;8;10;27;31;51;0;0; ; ;0;157;11.348,03;9780;181,48;SIM;28.755.943,65;0;0
616;17/11/2004;2;12;16;24;26;54;0;0; ; ;0;90;18.187,52;9236;176,56;SIM;31.620.478,41;0;0
617;20/11/2004;3;5;25;33;36;49;0;2;;RJ;17.791.387,59;289;7.834,50;17341;130,08;NÃO;0;0;0
SP;;;;;;;;;;;;;;;;;;;;
618;24/11/2004;3;8;10;13;24;60;0;0; ; ;0;86;6.312,56;4992;108,34;SIM;950.038,98;0;0
619;27/11/2004;8;12;14;16;19;46;0;0; ; ;0;101;7.354,06;5924;124,91;SIM;10.960.275,81;0;0
620;01/12/2004;1;3;13;22;29;32;0;0; ; ;0;87;11.707,09;5886;172,39;SIM;12.742.680,43;0;0
621;04/12/2004;26;29;31;49;50;57;0;0; ; ;0;40;32.904,81;3837;341,73;SIM;15.046.017,24;0;0
622;08/12/2004;19;27;29;38;50;59;0;0; ; ;0;49;24.789,92;3560;339,92;SIM;17.171.752,86;0;0
623;11/12/2004;9;23;30;42;49;55;0;0; ; ;0;124;12.236,03;6915;218,59;SIM;19.826.970,07;0;0
624;15/12/2004;8;23;34;39;43;52;0;1;;MG;22.375.180,08;108;13.482,59;7284;199,16;NÃO;0;0;0
625;18/12/2004;12;24;32;40;42;59;0;0; ; ;0;49;20.777,72;4056;250,06;SIM;9.935.192,23;0;0
626;22/12/2004;7;8;18;22;39;49;0;0; ; ;0;52;21.294,16;5096;216,47;SIM;11.872.960,59;0;0
627;29/12/2004;1;13;19;45;56;58;0;0; ; ;0;112;14.270,18;8049;197,82;SIM;14.669.915,47;0;0
628;05/01/2005;8;16;22;30;56;58;0;1;;SP;17.373.966,13;76;20.331,21;5510;279,37;NÃO;0;0;0
629;08/01/2005;15;16;39;40;47;51;0;1;;SE;1.104.456,38;15;42.074,53;1865;337,13;NÃO;0;0;0
630;12/01/2005;12;16;20;45;53;60;0;0; ; ;0;33;24.880,69;2972;275,23;SIM;8.811.801,94;0;0
631;15/01/2005;1;20;28;32;44;47;0;1;;PR;10.579.247,17;46;21.955,84;3548;283,58;NÃO;0;0;0
632;19/01/2005;2;19;28;48;51;54;0;0; ; ;0;26;19.697,02;1962;260,03;SIM;896.214,44;0;0
633;22/01/2005;5;11;22;27;46;50;0;0; ; ;0;58;11.744,77;3524;192,57;SIM;2.088.308,43;0;0
634;26/01/2005;10;13;24;41;42;56;0;0; ; ;0;54;11.854,27;3752;169,97;SIM;7.789.137,30;0;0
635;29/01/2005;8;20;26;37;42;49;0;0; ; ;0;58;16.456,84;3646;260,8;SIM;9.459.506,58;0;0
636;02/02/2005;26;28;30;32;34;50;0;0; ; ;0;74;12.762,47;3170;296,79;SIM;11.112.246,45;0;0
637;05/02/2005;11;18;43;48;52;58;0;0; ; ;0;29;38.451,69;3560;312,04;SIM;13.063.669,53;0;0
638;12/02/2005;10;11;36;41;42;50;0;0; ; ;0;65;22.677,35;4518;325,03;SIM;15.643.218,50;0;0
639;16/02/2005;13;35;39;45;51;60;0;0; ; ;0;72;17.653,96;5473;231,37;SIM;25.066.531,77;0;0
640;19/02/2005;12;19;42;46;59;60;0;0; ; ;0;129;14.012,81;8094;222,49;SIM;28.229.924,76;0;0
641;23/02/2005;1;9;13;17;33;34;0;1;;MG;31.923.289,19;366;5.766,38;20840;100,89;NÃO;0;0;0
642;26/02/2005;17;36;40;44;51;56;0;0; ; ;0;28;22.758,80;1988;319,34;SIM;1.115.180,94;0;0
643;02/03/2005;14;24;37;40;42;45;0;0; ; ;0;41;15.663,14;2694;237,48;SIM;2.239.011,24;0;0
644;05/03/2005;14;27;29;31;34;57;0;0; ; ;0;81;10.667,36;4433;194,17;SIM;11.328.156,70;0;0
645;09/03/2005;3;24;48;52;53;54;0;0; ; ;0;39;27.310,11;4345;244,2;SIM;13.192.071,41;0;0
646;12/03/2005;10;13;32;47;49;60;0;0; ; ;0;79;16.079,41;6173;205;SIM;15.415.049,93;0;0
647;16/03/2005;11;12;14;19;54;56;0;1;;SP;17.603.353,15;50;25.009,18;5432;229,34;NÃO;0;0;0
648;19/03/2005;5;23;29;42;45;48;0;3;;MG;361.199,61;139;4.454,67;4869;126,69;NÃO;0;0;0
RJ;;;;;;;;;;;;;;;;;;;;
SC;;;;;;;;;;;;;;;;;;;;
649;23/03/2005;9;24;33;41;48;54;0;0; ; ;0;31;15.748,23;2156;225,57;SIM;6.720.868,06;0;0
650;26/03/2005;10;24;25;29;53;59;0;0; ; ;0;29;24.322,62;2765;254,15;SIM;7.955.241,21;0;0
651;30/03/2005;26;28;39;45;48;60;0;0; ; ;0;36;24.882,92;4356;204,86;SIM;9.522.864,81;0;0
652;02/04/2005;10;18;20;24;56;57;0;0; ; ;0;41;27.383,54;3874;288,71;SIM;11.487.633,94;0;0
653;06/04/2005;5;9;19;24;31;34;0;0; ; ;0;74;14.994,32;6274;176,18;SIM;13.429.397,87;0;0
654;09/04/2005;6;10;11;40;41;56;0;1;;MG;15.767.596,35;66;20.244,14;4745;280,52;NÃO;0;0;0
655;13/04/2005;1;26;37;39;43;48;0;0; ; ;0;23;33.457,53;2722;281,64;SIM;7.808.614,22;0;0
656;16/04/2005;35;36;37;46;51;59;0;0; ; ;0;24;42.026,73;2623;383,08;SIM;9.573.736,75;0;0
657;20/04/2005;16;20;33;58;59;60;0;1;;PR;11.354.235,39;56;18.168,36;3995;253,72;NÃO;0;0;0
658;23/04/2005;3;6;11;20;36;41;0;0; ; ;0;31;18.418,26;2883;197,3;SIM;999.190,32;0;0
659;27/04/2005;14;29;34;40;51;52;0;0; ; ;0;22;27.222,16;1390;429,22;SIM;7.004.050,46;0;0
660;30/04/2005;5;11;38;46;53;54;0;0; ; ;0;58;16.751,00;4204;230,23;SIM;8.704.277,05;0;0
661;04/05/2005;4;27;36;40;42;55;0;0; ; ;0;64;15.130,77;4211;229,09;SIM;10.398.923,36;0;0
662;07/05/2005;4;18;23;25;56;60;0;0; ; ;0;79;14.974,99;5525;213,31;SIM;12.469.215,44;0;0
663;11/05/2005;1;27;30;49;51;55;0;0; ; ;0;64;17.649,82;4020;279,93;SIM;14.445.995,20;0;0
664;14/05/2005;1;12;36;38;55;59;0;0; ; ;0;74;18.450,77;4971;273,62;SIM;23.857.740,39;0;0
665;18/05/2005;7;8;18;25;47;48;0;0; ; ;0;185;8.538,56;10055;156,51;SIM;26.622.098,55;0;0
666;21/05/2005;7;16;26;29;45;55;0;0; ; ;0;77;26.923,37;8122;254,29;SIM;30.250.022,18;0;0
667;25/05/2005;1;4;5;16;23;49;0;1;;SP;34.263.173,55;203;11.296,70;15283;149,48;NÃO;0;0;0
668;28/05/2005;1;2;14;33;49;56;0;0; ; ;0;53;11.007,74;2814;206,54;SIM;1.020.967,19;0;0
669;01/06/2005;7;24;27;40;41;49;0;1;;SP;2.170.216,15;32;20.522,30;2427;269,57;NÃO;0;0;0
670;04/06/2005;22;37;42;48;58;59;0;0; ; ;0;24;43.085,53;2895;355,84;SIM;10.792.198,93;0;0
671;08/06/2005;9;16;27;38;39;51;0;0; ; ;0;67;16.609,70;4259;260,3;SIM;12.739.685,49;0;0
672;11/06/2005;24;28;34;38;43;53;0;0; ; ;0;54;24.277,19;4411;296,08;SIM;15.033.880,01;0;0
673;15/06/2005;6;11;20;34;37;40;0;0; ; ;0;72;17.523,73;4792;262,3;SIM;17.241.869,86;0;0
674;18/06/2005;18;22;29;32;38;42;0;0; ; ;0;96;16.070,11;5586;275,14;SIM;27.769.536,63;0;0
675;22/06/2005;24;25;30;42;43;50;0;0; ; ;0;67;26.180,70;5204;335,79;SIM;30.839.224,48;0;0
676;25/06/2005;9;15;32;41;42;49;0;0; ; ;0;94;22.081,78;7583;272,69;SIM;34.471.676,39;0;0
677;29/06/2005;8;10;25;32;48;55;0;0; ; ;0;284;8.422,82;12803;186,14;SIM;38.657.818,81;0;0
678;02/07/2005;14;31;40;42;44;46;0;0; ; ;0;115;28.311,43;9797;331,07;SIM;44.355.495,36;0;0
679;06/07/2005;3;21;25;37;54;58;0;1;;RJ;51.890.452,61;448;9.610,91;22087;194,2;NÃO;0;0;0
680;09/07/2005;2;3;5;22;26;44;0;0; ; ;0;188;7.276,69;11222;121,45;SIM;19.623.257,97;0;0
681;13/07/2005;21;25;38;53;58;59;0;0; ; ;0;62;23.695,09;5210;280,91;SIM;22.194.175,20;0;0
682;16/07/2005;4;27;36;37;47;60;0;0; ; ;0;62;25.832,17;5647;282,55;SIM;24.996.965,62;0;0
683;20/07/2005;2;11;12;35;40;43;0;0; ; ;0;79;19.666,04;5680;272,49;SIM;27.715.795,78;0;0
684;23/07/2005;17;19;33;37;40;50;0;0; ; ;0;81;22.483,66;7103;255,42;SIM;40.669.733,33;0;0
685;27/07/2005;5;12;27;33;43;56;0;1;;SP;44.331.219,78;347;6.029,62;15404;135,32;NÃO;0;0;0
686;30/07/2005;4;5;15;26;33;54;0;0; ; ;0;47;15.221,72;3901;182,71;SIM;1.251.986,54;0;0
687;03/08/2005;1;7;14;41;48;59;0;0; ; ;0;28;25.839,62;2887;249,66;SIM;2.518.128,16;0;0
688;06/08/2005;11;21;30;35;47;52;0;0; ; ;0;38;23.920,89;2757;328,45;SIM;4.108.867,61;0;0
689;10/08/2005;6;7;31;49;51;60;0;0; ; ;0;29;30.336,11;2998;292,33;SIM;12.298.361,58;0;0
690;13/08/2005;8;12;15;41;47;53;0;0; ; ;0;90;13.225,50;5446;217,74;SIM;14.381.378,18;0;0
691;17/08/2005;8;16;37;50;55;58;0;0; ; ;0;54;20.629,58;3896;284,85;SIM;16.330.873,12;0;0
692;20/08/2005;11;18;33;57;58;60;0;0; ; ;0;71;18.365,13;4995;260,06;SIM;18.612.740,26;0;0
693;24/08/2005;13;14;17;31;41;50;0;0; ; ;0;152;8.909,82;7170;188,18;SIM;20.982.752,64;0;0
694;27/08/2005;15;19;29;37;41;53;0;0; ; ;0;114;13.859,26;7087;222,1;SIM;31.925.755,05;0;0
695;31/08/2005;6;11;13;21;40;52;0;0; ; ;0;76;22.217,91;6333;265,62;SIM;34.880.737,54;0;0
696;03/09/2005;9;16;34;37;53;57;0;2;;MA;19.251.302,49;195;10.613,53;10814;190,66;NÃO;0;0;0
MG;;;;;;;;;;;;;;;;;;;;
697;10/09/2005;28;31;32;35;51;53;0;0; ; ;0;27;33.337,57;2895;309,74;SIM;1.575.200,44;0;0
698;14/09/2005;8;12;22;27;43;55;0;0; ; ;0;43;16.354,69;3981;175,99;SIM;2.805.890,89;0;0
699;19/09/2005;17;23;48;50;53;54;0;0; ; ;0;54;16.259,09;3752;233,13;SIM;12.141.821,41;0;0
700;21/09/2005;2;3;14;24;31;40;0;0; ; ;0;53;17.991,31;3584;265,04;SIM;13.810.515,56;0;0
701;24/09/2005;1;13;23;31;48;60;0;0; ; ;0;103;11.253,13;5623;205,35;SIM;15.838.891,81;0;0
702;28/09/2005;1;18;45;56;57;58;0;0; ; ;0;47;22.868,49;3663;292,31;SIM;17.719.825,24;0;0
703;01/10/2005;2;11;24;27;30;45;0;0; ; ;0;123;10.767,16;7343;179,68;SIM;20.037.455,42;0;0
704;05/10/2005;2;4;18;27;34;50;0;0; ; ;0;56;22.659,95;5784;218,56;SIM;29.484.065,62;0;0
705;08/10/2005;3;11;13;15;26;43;0;0; ; ;0;144;11.780,58;11514;146,78;SIM;32.452.771,10;0;0
706;15/10/2005;2;7;10;17;22;60;0;0; ; ;0;282;7.866,56;15980;138,3;SIM;36.334.914,54;0;0
707;19/10/2005;1;8;10;36;43;51;0;2;;MG;19.919.975,72;140;14.306,28;12461;160,12;NÃO;0;0;0
RO;;;;;;;;;;;;;;;;;;;;
708;22/10/2005;7;9;13;39;45;47;0;0; ; ;0;102;6.567,35;5998;111,26;SIM;1.172.271,79;0;0
709;26/10/2005;4;6;9;22;29;44;0;0; ; ;0;106;5.881,47;5202;119,39;SIM;11.276.978,00;0;0
710;29/10/2005;5;25;34;39;46;49;0;0; ; ;0;48;21.483,28;4608;222,94;SIM;13.081.573,14;0;0
711;05/11/2005;5;10;33;40;41;59;0;0; ; ;0;79;18.118,11;5840;244,16;SIM;15.586.402,01;0;0
712;09/11/2005;7;8;35;43;53;58;0;0; ; ;0;97;12.122,15;5637;207,81;SIM;17.644.136,19;0;0
713;12/11/2005;1;12;16;26;46;54;0;0; ; ;0;67;20.438,81;5838;233,68;SIM;20.040.586,54;0;0
714;16/11/2005;7;8;17;35;39;53;0;0; ; ;0;113;9.766,45;10955;100,36;SIM;29.611.134,96;0;0
715;19/11/2005;4;12;24;33;36;54;0;3;;GO;10.825.809,33;237;6.910,89;13134;124,24;NÃO;0;0;0
MA;;;;;;;;;;;;;;;;;;;;
SP;;;;;;;;;;;;;;;;;;;;
716;23/11/2005;2;7;16;29;32;50;0;1;;RJ;945.382,75;37;14.600,51;2512;214,25;NÃO;0;0;0
717;26/11/2005;6;17;23;28;35;41;0;0; ; ;0;68;8.956,76;3816;159;SIM;1.065.855,06;0;0
718;30/11/2005;7;21;33;35;39;58;0;0; ; ;0;41;13.759,23;2893;194,26;SIM;2.053.079,87;0;0
719;03/12/2005;3;32;37;39;47;53;0;0; ; ;0;63;12.737,00;3553;225;SIM;8.649.484,79;0;0
720;07/12/2005;12;31;44;51;54;56;0;0; ; ;0;20;45.658,99;2606;349,09;SIM;10.247.549,36;0;0
721;10/12/2005;3;14;23;25;36;55;0;0; ; ;0;99;11.025,33;6723;161,75;SIM;12.157.688,32;0;0
722;14/12/2005;9;18;36;44;57;60;0;0; ; ;0;85;12.704,05;5334;201,68;SIM;14.047.415,26;0;0
723;17/12/2005;1;6;16;36;50;52;0;0; ; ;0;49;25.242,04;4000;308,05;SIM;16.211.920,28;0;0
724;21/12/2005;17;27;34;48;51;55;0;0; ; ;0;102;12.537,87;6190;205,82;SIM;25.450.246,43;0;0
725;31/12/2005;3;9;35;37;41;49;0;2;;MG;15.815.987,63;343;10.298,59;20451;172,08;NÃO;0;0;0
RJ;;;;;;;;;;;;;;;;;;;;
726;04/01/2006;1;5;7;37;40;47;0;0; ; ;0;35;15.459,49;2838;189,94;SIM;946.893,69;0;0
727;07/01/2006;4;12;14;30;42;59;0;0; ; ;0;29;25.008,46;2688;268,79;SIM;2.216.072,86;0;0
728;11/01/2006;8;13;24;32;42;44;0;0; ; ;0;81;8.575,31;5381;128,59;SIM;3.431.622,25;0;0
729;14/01/2006;5;18;33;43;56;57;0;1;;MG;4.969.519,90;51;17.231,34;5041;173,67;NÃO;0;0;0
730;18/01/2006;2;15;16;45;50;54;0;0; ; ;0;34;23.412,97;2824;280,82;SIM;9.358.249,67;0;0
731;21/01/2006;6;15;16;23;28;35;0;0; ; ;0;88;11.554,63;6659;152,12;SIM;11.137.662,34;0;0
732;25/01/2006;6;17;19;49;50;53;0;0; ; ;0;65;14.610,54;4196;225,48;SIM;12.799.611,64;0;0
733;28/01/2006;2;12;26;31;43;46;0;0; ; ;0;67;16.737,98;5110;218,63;SIM;14.762.139,60;0;0
734;01/02/2006;27;29;43;44;45;54;0;1;;MG;16.726.569,98;58;19.354,00;3984;280,69;NÃO;0;0;0
735;04/02/2006;9;15;38;40;42;52;0;0; ; ;0;33;27.163,91;3043;293,47;SIM;7.826.853,28;0;0
736;08/02/2006;1;21;38;41;49;56;0;0; ; ;0;19;47.835,60;2190;413,44;SIM;9.417.386,79;0;0
737;11/02/2006;11;12;24;32;33;38;0;0; ; ;0;65;18.730,63;6267;193,54;SIM;11.547.995,59;0;0
738;15/02/2006;14;15;26;30;42;54;0;0; ; ;0;47;26.720,69;4178;299,45;SIM;13.745.772,39;0;0
739;18/02/2006;6;10;35;45;49;56;0;0; ; ;0;54;25.993,77;4723;296,08;SIM;23.305.073,75;0;0
740;22/02/2006;12;16;28;29;47;50;0;1;;PR;26.132.814,65;90;17.953,91;6943;231,85;NÃO;0;0;0
741;25/02/2006;24;26;27;36;39;59;0;0; ; ;0;23;28.453,38;2133;305,65;SIM;1.145.248,54;0;0
742;01/03/2006;2;7;17;34;41;50;0;0; ; ;0;25;14.199,00;1622;218,02;SIM;1.766.454,86;0;0
743;04/03/2006;20;23;25;32;54;60;0;0; ; ;0;28;29.491,22;2762;297,84;SIM;3.211.524,66;0;0
744;08/03/2006;4;12;23;26;39;46;0;0; ; ;0;77;10.441,97;5387;148,7;SIM;9.937.380,49;0;0
745;11/03/2006;2;16;21;37;43;57;0;0; ; ;0;134;8.604,62;5262;218,3;SIM;11.955.163,21;0;0
746;15/03/2006;1;10;12;25;49;57;0;2;;RS;6.995.681,58;114;10.206,52;6686;173,36;NÃO;0;0;0
SP;;;;;;;;;;;;;;;;;;;;
747;18/03/2006;2;3;12;21;23;56;0;0; ; ;0;53;13.079,29;4363;158,28;SIM;1.213.104,40;0;0
748;22/03/2006;1;2;7;19;35;51;0;0; ; ;0;74;9.080,42;4519;148,14;SIM;2.389.018,77;0;0
749;25/03/2006;4;24;47;48;50;57;0;0; ; ;0;31;26.214,36;2669;303,33;SIM;9.429.097,84;0;0
750;29/03/2006;10;17;33;42;54;58;0;0; ; ;0;49;18.795,69;3799;241,51;SIM;11.040.828,28;0;0
751;01/04/2006;4;7;20;25;38;50;0;0; ; ;0;74;15.221,68;5579;201,14;SIM;13.012.035,71;15.000.000,00;0
752;05/04/2006;4;23;24;25;29;42;0;0; ; ;0;86;13.022,30;6849;162,9;SIM;14.971.892,19;0;0
753;08/04/2006;2;7;22;35;43;59;0;1;;BA;17.388.228,32;152;9.083,97;8630;159,4;NÃO;0;0;0
754;12/04/2006;3;4;13;34;42;50;0;0; ; ;0;41;14.457,22;2827;208,89;SIM;7.463.330,98;0;0
755;15/04/2006;4;12;30;47;49;59;0;0; ; ;0;41;18.319,33;2977;251,35;SIM;8.777.742,92;0;0
756;19/04/2006;5;27;37;38;41;50;0;0; ; ;0;34;27.503,13;3135;297,15;SIM;10.414.179,09;0;0
757;22/04/2006;12;17;18;30;32;58;0;0; ; ;0;53;17.988,72;3448;275,46;SIM;12.082.632,69;0;0
758;26/04/2006;1;23;36;43;47;59;0;0; ; ;0;74;14.352,34;4910;215,49;SIM;13.941.260,58;0;0
759;29/04/2006;30;31;39;45;48;59;0;0; ; ;0;38;32.431,50;2588;474,4;SIM;22.265.544,19;0;0
760;03/05/2006;12;17;44;45;46;60;0;0; ; ;0;80;16.005,08;5517;231,2;SIM;24.506.255,18;0;0
761;06/05/2006;13;17;27;29;40;56;0;0; ; ;0;100;17.175,97;8936;191,48;SIM;27.512.048,76;0;0
762;10/05/2006;9;12;21;37;39;54;0;0; ; ;0;143;13.668,11;10120;192,4;SIM;30.932.491,92;0;0
763;13/05/2006;1;9;26;40;47;48;0;0; ; ;0;101;23.502,31;7655;308,92;SIM;35.086.525,19;0;0
764;18/05/2006;3;7;45;47;53;55;0;1;;PA;40.539.530,90;189;16.486,79;15290;203,03;NÃO;0;0;0
765;21/05/2006;3;10;16;30;37;50;0;0; ; ;0;62;15.552,09;4336;221,54;SIM;14.740.248,65;0;0
766;24/05/2006;1;19;24;42;50;58;0;0; ; ;0;63;16.857,33;4477;236,31;SIM;16.598.769,93;0;0
767;27/05/2006;15;22;32;38;50;54;0;0; ; ;0;62;20.318,55;4419;284;SIM;18.803.331,88;0;0
768;31/05/2006;4;8;30;33;37;59;0;1;;MG;21.024.430,31;93;13.647,30;6408;197,31;NÃO;0;0;0
769;03/06/2006;12;16;20;21;29;50;0;0; ; ;0;49;14.382,06;3078;228,08;SIM;7.808.149,60;0;0
770;07/06/2006;4;12;25;34;35;48;0;0; ; ;0;68;13.703,65;5401;171,88;SIM;9.438.882,88;0;0
771;10/06/2006;14;21;29;34;46;47;0;0; ; ;0;69;15.089,83;4559;227,53;SIM;11.260.979,64;0;0
772;14/06/2006;10;35;38;51;52;60;0;0; ; ;0;66;13.476,30;5330;166,25;SIM;12.817.492,36;15.000.000,00;0
773;17/06/2006;3;5;14;29;34;51;0;0; ; ;0;58;16.454,70;4919;193,29;SIM;14.487.644,71;0;0
774;21/06/2006;5;10;37;46;54;58;0;1;;PA;16.319.071,08;64;16.352,03;4336;240,45;NÃO;0;0;0
775;24/06/2006;12;27;42;46;47;50;0;0; ; ;0;30;25.559,59;3058;249,8;SIM;7.421.108,15;0;0
776;28/06/2006;3;15;35;41;57;60;0;0; ; ;0;56;13.543,61;3075;245,72;SIM;8.748.382,29;0;0
777;01/07/2006;2;14;23;28;50;56;0;0; ; ;0;80;10.746,73;3943;217,22;SIM;10.252.923,38;12.000.000,00;0
778;05/07/2006;20;31;36;37;45;51;0;0; ; ;0;21;42.785,84;1890;473,6;SIM;11.825.302,87;0;0
779;08/07/2006;25;26;29;36;52;54;0;0; ; ;0;26;39.580,32;3127;327,85;SIM;19.016.906,07;0;0
780;12/07/2006;7;10;28;50;51;59;0;0; ; ;0;43;26.754,56;3828;299,4;SIM;21.030.186,72;0;0
781;15/07/2006;8;10;13;39;54;56;0;0; ; ;0;66;19.809,51;5707;228,22;SIM;23.318.185,27;0;0
782;19/07/2006;2;11;23;35;42;59;0;0; ; ;0;144;9.270,41;7533;176,55;SIM;25.654.326,84;0;0
783;22/07/2006;4;8;21;32;43;48;0;1;;MT;28.244.624,32;140;10.572,64;8427;174,99;NÃO;0;0;0
784;26/07/2006;8;27;37;42;53;56;0;0; ; ;0;27;20.363,80;2163;253,24;SIM;8.240.695,17;0;0
785;29/07/2006;5;8;17;35;37;48;0;1;;RJ;9.770.979,43;126;6.940,06;6657;130,87;NÃO;0;0;0
786;02/08/2006;10;11;26;27;31;41;0;0; ; ;0;19;25.700,08;1521;319,83;SIM;854.527,84;0;0
787;05/08/2006;20;31;34;37;54;60;0;0; ; ;0;40;16.922,47;1955;344,93;SIM;2.039.100,64;0;0
788;09/08/2006;17;19;29;31;44;57;0;0; ; ;0;62;10.763,88;3247;204,75;SIM;3.206.981,50;0;0
789;12/08/2006;6;31;38;39;50;60;0;0; ; ;0;13;62.482,48;1808;447,56;SIM;9.027.559,48;0;0
790;16/08/2006;2;6;19;22;28;43;0;0; ; ;0;71;11.717,34;5884;140,86;SIM;10.483.439,10;0;0
791;19/08/2006;9;14;19;35;42;58;0;1;;SP;12.212.213,94;114;8.665,54;5756;170,97;NÃO;0;0;0
792;23/08/2006;9;29;34;43;45;56;0;0; ; ;0;32;15.844,65;1949;259,17;SIM;887.300,41;0;0
793;26/08/2006;3;15;16;33;51;57;0;0; ; ;0;62;10.387,12;3629;176,79;SIM;2.014.302,06;0;0
794;30/08/2006;3;38;42;47;55;56;0;0; ; ;0;15;37.006,71;1730;319,66;SIM;7.393.144,45;0;0
795;02/09/2006;14;21;26;29;36;48;0;0; ; ;0;76;11.029,20;4389;190,27;SIM;8.860.028,16;0;0
796;06/09/2006;5;19;24;34;39;43;0;0; ; ;0;80;9.974,90;4883;162,81;SIM;10.256.514,12;0;0
797;09/09/2006;6;12;47;48;52;58;0;0; ; ;0;66;12.566,42;3447;239,7;SIM;11.707.935,01;0;0
